mouseID,Time,Gender,injured,CaAmplit,CaArea,rearing,grooming,NCaAmplit,NCaArea,Nrearing,Ngrooming
i11,-7,f,1,3.7295,357.644299783996,33,28,0.887664451174885,1.03126103340216,0.771929824561403,0.549019607843137
i11,-6,f,1,4.3365,309.497466117429,31,52,1.03213752313176,0.892430487320438,0.725146198830409,1.01960784313725
i11,-4,f,1,5.6478,315.691639220864,51,61,1.34424220065572,0.910291276265147,1.19298245614035,1.19607843137255
i11,-0.014,f,1,3.0921,404.378127942696,56,63,0.735955825037636,1.16601720301226,1.30994152046784,1.23529411764706
i11,0,f,1,NaN,NaN,0,6,NaN,NaN,0,0.117647058823529
i11,0.014,f,1,5.7794,830.619661474299,2,45,1.37556453388393,2.39507715060321,0.046783625730994,0.882352941176471
i11,0.042,f,1,2.5915,853.41784453709,8,53,0.616807192712083,2.46081530954836,0.187134502923977,1.03921568627451
i11,1,f,1,4.1532,NaN,14,33,0.988509987563891,NaN,0.327485380116959,0.647058823529412
i11,3,f,1,5.7341,NaN,23,39,1.36478260610857,NaN,0.538011695906433,0.764705882352941
i11,7,f,1,4.2795,380.885660099009,53,33,1.01857085904355,1.09827708614117,1.23976608187135,0.647058823529412
i11,14,f,1,3.5251,NaN,33,74,0.839014869777876,NaN,0.771929824561403,1.45098039215686
i11,56,f,1,0.859362573859799,357.23463956,40,43,0.204538304762018,1.03007978536829,0.935672514619883,0.843137254901961
i09,-7,f,1,3.5139,351.206055636808,23,55,0.9067251556301,0.918544839498901,0.713178294573643,0.912863070539419
i09,-6,f,1,3.6652,515.460294661366,32,73,0.945766538722059,1.34813562018251,0.992248062015504,1.21161825726141
i09,-4,f,1,4.8654,364.67718930852,56,67,1.25546560010322,0.953777262510271,1.73643410852713,1.11203319502075
i09,-0.014,f,1,3.457,298.05836015643,18,46,0.892042705544625,0.779542277808322,0.558139534883721,0.763485477178423
i09,0,f,1,NaN,NaN,1,22,NaN,NaN,0.031007751937985,0.365145228215768
i09,0.014,f,1,3.2247,1054.74811410824,3,24,0.832100119343289,2.75858978407599,0.093023255813954,0.398340248962656
i09,0.042,f,1,1.5243,809.45456,0,8,0.393329677773119,2.11704865836866,0,0.132780082987552
i09,1,f,1,3.9314,NaN,17,27,1.01445666548399,NaN,0.527131782945737,0.448132780082988
i09,3,f,1,3.7478,374.724692,25,47,0.967080605102732,0.980055515971408,0.775193798449613,0.780082987551867
i09,7,f,1,4.0804,500.608797835166,38,42,1.05290455762346,1.30929299332687,1.17829457364341,0.697095435684647
i09,14,f,1,3.8875,482.840316277582,39,51,1.00312872947779,1.26282128027267,1.2093023255814,0.846473029045643
i09,56,f,1,3.04926583975611,522.546897,22,38,0.786831168596587,1.36666993046349,0.682170542635659,0.630705394190871
i06,-7,m,1,3.931,298.757592635949,33,30,1.29575607746189,1.23999207730578,0.676923076923077,0.568720379146919
i06,-6,m,1,2.1797,190.73288772126,60,70,0.718483724763082,0.791636013563046,1.23076923076923,1.32701421800948
i06,-4,m,1,2.5613,194.275536291166,65,22,0.844268644416976,0.80633976090752,1.33333333333333,0.417061611374408
i06,-0.014,m,1,3.463,279.97431074172,37,89,1.14149155335806,1.16203214822365,0.758974358974359,1.68720379146919
i06,0,m,1,NaN,NaN,0,5,NaN,NaN,0,0.09478672985782
i06,0.014,m,1,4.6592,2492.39489931522,4,23,1.53578903996704,10.3446740931341,0.082051282051282,0.436018957345972
i06,0.042,m,1,3.5091,2037.472715223,3,16,1.15668726823239,8.45652156422957,0.061538461538462,0.303317535545024
i06,1,m,1,2.9893,1.2387483,65,58,0.985348166460651,0.0051414193836,1.33333333333333,1.09952606635071
i06,3,m,1,4.3828,904.5238479,71,52,1.44468067573136,3.75422226171459,1.45641025641026,0.985781990521327
i06,7,m,1,5.7056,344.1273946,34,35,1.88070869386073,1.42829924127771,0.697435897435897,0.663507109004739
i06,14,m,1,3.4001,200.1537,62,50,1.12075813761846,0.830737053588019,1.27179487179487,0.947867298578199
i06,56,m,1,1.17221412808377,198.456965,38,33,0.386391142315616,0.823694762415686,0.77948717948718,0.625592417061611
i03,-7,f,1,3.975,429.965731702857,38,19,1.78287098293378,1.09878927995621,1.6,0.95
i03,-6,f,1,1.4758,266.751403050521,19,23,0.661927294745576,0.681690563860447,0.8,1.15
i03,-4,f,1,1.4352,407.174484818117,16,17,0.643717342064542,1.04054562027057,0.673684210526316,0.85
i03,-0.014,f,1,2.0322,461.342914642355,22,21,0.911484380256106,1.17897453591277,0.926315789473684,1.05
i03,0,f,1,NaN,NaN,7,26,NaN,NaN,0.294736842105263,1.3
i03,0.014,f,1,1.1041,451.23323196615,28,26,0.495212038303694,1.15313896314659,1.17894736842105,1.3
i03,0.042,f,1,1.8948,319.34981145153,14,15,0.849857594581866,0.816107246475815,0.589473684210526,0.75
i03,1,f,1,2.1536,462.67607854522,23,16,0.96593482989841,1.18238147301702,0.968421052631579,0.8
i03,3,f,1,3.8499,480.406957977413,20,29,1.72676100558409,1.22769322418177,0.842105263157895,1.45
i03,7,f,1,3.5121,436.697186126501,28,55,1.57525061110987,1.11599169729752,1.17894736842105,2.75
i03,14,f,1,5.2406,399.919727342117,32,25,2.35051916305981,1.02200588755341,1.34736842105263,1.25
i03,56,f,1,1.25893811952674,367.28343,21,36,0.564660187033258,0.938602930031749,0.88421052631579,1.8
i17,-7,f,1,3.0252,228.757592635949,37,23,0.7261772595522,1.10818094050643,0.840909090909091,0.497297297297297
i17,-6,f,1,3.3669,226.333442268711,40,56,0.808199859575004,1.09643751724804,0.909090909090909,1.21081081081081
i17,-4,f,1,6.6834,207.046035013282,58,60,1.60430156567869,1.0030026420775,1.31818181818182,1.2972972972973
i17,-0.014,f,1,3.5882,163.56777402716,41,46,0.861321315194105,0.792378900168036,0.931818181818182,0.994594594594595
i17,0,f,1,NaN,NaN,3,19,NaN,NaN,0.068181818181818,0.410810810810811
i17,0.014,f,1,1.3984,1419.04756692883,8,38,0.335675750283551,6.87435747693483,0.181818181818182,0.821621621621622
i17,0.042,f,1,1.8012,884.989788173697,8,36,0.432364960963051,4.28719678545346,0.181818181818182,0.778378378378378
i17,1,f,1,2.5956,1064.51903318325,31,55,0.623054903772872,5.1568985745421,0.704545454545455,1.18918918918919
i17,3,f,1,1.4509,330.918562961688,36,39,0.34827799348284,1.60308403366319,0.818181818181818,0.843243243243243
i17,7,f,1,2.7014,227.86657936359,33,32,0.648451424353535,1.10386456387915,0.75,0.691891891891892
i17,14,f,1,5.0241,314.463099355843,41,42,1.20599866776286,1.52336807352798,0.931818181818182,0.908108108108108
i17,56,f,1,2.14403723171554,298.48526574,32,44,0.514660545257056,1.44596591834864,0.727272727272727,0.951351351351351
i14,-7,m,1,2.0131,452.916914333552,40,69,0.515152484470063,1.2035051924528,0.769230769230769,1.13114754098361
i14,-6,m,1,5.491,315.559703898687,60,49,1.40514743044316,0.838515255562415,1.15384615384615,0.80327868852459
i14,-4,m,1,4.5926,NaN,56,80,1.17524678365566,NaN,1.07692307692308,1.31147540983607
i14,-0.014,m,1,3.5344,4605.1777402766,52,46,0.904453301431122,0.957979265694368,1,0.754098360655738
i14,0,m,1,NaN,NaN,0,0,NaN,NaN,0,0
i14,0.014,m,1,1.1322,846.71549991718,2,22,0.289730089373109,2.24991928636636,0.038461538461539,0.360655737704918
i14,0.042,m,1,1.8723,760.100146269657,0,27,0.479121750868461,2.01976222099308,0,0.442622950819672
i14,1,m,1,5.4031,319.28989746229,64,47,1.38265381195181,0.848427244230924,1.23076923076923,0.770491803278688
i14,3,m,1,5.5977,463.073328530182,37,45,1.43245197075062,1.23049313844358,0.711538461538462,0.737704918032787
i14,7,m,1,2.7374,345.48182296004,41,62,0.700500924439099,0.918025259538572,0.788461538461538,1.01639344262295
i14,14,m,1,3.3893,256.537835053981,81,67,0.86732219741413,0.681680473343265,1.55769230769231,1.09836065573771
i14,56,m,1,2.44852035186934,322.8465245,19,47,0.626576594609465,0.857878026420855,0.365384615384615,0.770491803278688
i08,-7,m,1,2.5632,252.1269531699,26,56,0.77324765826508,0.620172594531334,0.584269662921348,1.02283105022831
i08,-6,m,1,4.144,450.3465634,50,79,1.2501319818393,1.10774589210159,1.12359550561798,1.44292237442922
i08,-4,m,1,4.4983,487.7454659,62,39,1.35701464621325,1.19973833521187,1.39325842696629,0.712328767123288
i08,-0.014,m,1,2.0539,435.953830667276,40,45,0.619605713682369,1.0723431781552,0.898876404494382,0.821917808219178
i08,0,m,1,NaN,NaN,1,5,NaN,NaN,0.02247191011236,0.091324200913242
i08,0.014,m,1,2.5746,849.70368050109,4,8,0.77668672790624,2.09006982194435,0.089887640449438,0.146118721461187
i08,0.042,m,1,2.8897,747.56614273991,12,29,0.871743819479011,1.83883566789614,0.269662921348315,0.529680365296804
i08,1,m,1,2.258,311.34065,60,30,0.681177127170158,0.765824265378951,1.34831460674157,0.547945205479452
